-55.47,0,-23.31,340
-55.49,0,-23.25,340.01
-55.53,0,-23.15,340.01
-55.58,0,-23.02,340.01
-55.64,0,-22.84,340.02
-55.72,0,-22.62,340.02
-55.82,0,-22.36,340.03
-55.93,0,-22.05,340.03
-56.05,0,-21.7,340.04
-56.2,0,-21.31,340.05
-56.36,0,-20.87,340.06
-56.53,0,-20.39,340.05
-56.73,0,-19.86,339.87
-56.94,0,-19.29,339.85
-57.17,0,-18.67,339.85
-57.41,0,-18,339.87
-57.68,0,-17.28,339.68
-57.97,0,-16.56,339.04
-58.25,0,-15.83,338.84
-58.53,0,-15.11,338.81
-58.81,0,-14.38,338.8
-59.09,0,-13.66,338.68
-59.38,0,-12.95,338.14
-59.67,0,-12.23,337.95
-59.96,0,-11.52,337.92
-60.25,0,-10.81,337.91
-60.54,0,-10.1,337.91
-60.82,0,-9.39,337.85
-61.11,0,-8.68,337.84
-61.41,0,-7.96,337.84
-61.7,0,-7.25,337.84
-61.99,0,-6.53,337.84
-62.28,0,-5.81,337.84
-62.57,0,-5.1,337.84
-62.86,0,-4.38,337.84
-63.15,0,-3.67,337.89
-63.44,0,-2.96,338.17
-63.72,0,-2.24,338.24
-64,0,-1.53,338.25
-64.29,0,-0.83,338.25
-64.57,0,-0.12,338.25
-64.84,0,0.55,338.24
-65.08,0,1.15,338.22
-65.29,0,1.68,338.2
-65.47,0,2.14,338.19
-65.63,0,2.54,338.17
-65.76,0,2.86,338.16
-65.86,0,3.11,338.15
-65.95,0,3.34,338.15
-66.04,0,3.57,338.15
-66.14,0,3.8,338.15
-66.23,0,4.03,338.15
